# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4481893855902
#
# Overhead  Command         Shared Object                    Symbol                           
# ........  ..............  ...............................  .................................
#
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8111d9e7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81253fa5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81253fcb
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81253fae
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812943f8
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81253feb
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275b73
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81294352
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81294562
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81800ee3
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118a850
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275b09
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8127581c
     0.00%  benchmark-blas  ld-2.31.so                       [.] check_match
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812758e0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812792c8
     0.00%  benchmark-blas  ld-2.31.so                       [.] __GI___tunables_init
     0.00%  benchmark-blas  libc-2.31.so                     [.] getenv
     0.00%  benchmark-blas  ld-2.31.so                       [.] _dl_fixup
     0.00%  benchmark-blas  libpthread-2.31.so               [.] __pthread_enable_asynccancel
     0.00%  benchmark-blas  ld-2.31.so                       [.] _dl_sysdep_start
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81124471
     0.00%  benchmark-blas  libpthread-2.31.so               [.] start_thread
     0.00%  benchmark-blas  libc-2.31.so                     [.] __sigsetjmp
     0.00%  benchmark-blas  libc-2.31.so                     [.] __ctype_init
     0.00%  benchmark-blas  libc-2.31.so                     [.] __clone
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff814215d2
     0.00%  benchmark-blas  libc-2.31.so                     [.] _setjmp
